Redis Delta,Trigger Delta
135,428.693
135,428.766
137,429.771
139,430.526
141,430.565
142,431.508
222,432.796
148,575.973
149,576.333
283,576.386
139,320.164
140,320.243
244,326.692
127,448.563
129,449.401
131,449.496
268,451.104
101,550.042
103,550.078
219,551.334
98,160.651
99,161.566
100,161.607
101,161.689
102,162.863
112,162.913
133,295.269
135,297.28
136,297.362
234,297.443
138,320.853
139,320.969
140,321.013
141,323.458
143,323.513
272,323.562
136,459.655
137,459.755
139,459.927
140,461.146
137,196.388
138,196.537
139,196.58
144,198.839
138,335.921
140,335.96
141,336.888
142,336.939
144,338.618
279,338.662
134,197.764
135,197.81
137,197.832
138,197.854
148,198.86
130,331.082
131,331.127
131,331.168
132,331.208
267,331.248
133,229.718
133,229.783
134,229.837
179,229.995
121,352.511
122,352.539
123,352.564
254,352.588
137,489.663
257,489.698
